imp_type,threshold,features,feature_number,valid_eval_rmse
gain,0.5,"['bigram_tok_2', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_neg_change_count', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_skew', 'down_event_11', 'down_event_13', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'evid_acc_kurt', 'evid_acc_skew', 'evid_acc_std', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'p_burst_mean', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_median', 'paragraph_word_count_q1', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_3_sec', 'pauses_half_sec', 'r_burst_count', 'r_burst_mean', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_std', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_word_count_max', 'sent_word_count_q3', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_pst', 'word_count_acc_skew']",67,0.6084614095452897
gain,0.6,"['activity_2_cnt', 'bigram_tok_2', 'bigram_tok_4', 'bigram_tok_8', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_neg_change_count', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_skew', 'down_event_1', 'down_event_11', 'down_event_13', 'down_event_15', 'down_event_2', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'evid_acc_kurt', 'evid_acc_skew', 'evid_acc_std', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_3_sec', 'pauses_half_sec', 'r_burst_count', 'r_burst_mean', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_std', 'roc_zro_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_word_count_first', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_q3', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_pst', 'word_count_acc_skew']",88,0.6062730919121467
gain,0.65,"['activity_2_cnt', 'bigram_tok_2', 'bigram_tok_4', 'bigram_tok_5', 'bigram_tok_8', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_neg_change_count', 'cursor_pos_roc_count_zr', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_skew', 'cursor_pos_roc_std', 'down_event_1', 'down_event_11', 'down_event_13', 'down_event_15', 'down_event_2', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'evid_acc_kurt', 'evid_acc_skew', 'evid_acc_std', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_10', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_count', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'p_burst_std', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_3_sec', 'pauses_half_sec', 'pos_change_count', 'r_burst_count', 'r_burst_max', 'r_burst_mean', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_skew', 'roc_std', 'roc_zro_count', 'sent_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_mean', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_word_count_first', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_median', 'sent_word_count_q3', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_pst', 'word_count_acc_skew', 'word_count_acc_zero']",101,0.6055773838756583
gain,0.7,"['activity_2_cnt', 'bigram_tok_2', 'bigram_tok_4', 'bigram_tok_5', 'bigram_tok_8', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_neg', 'cursor_pos_acc_q1', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_neg_change_count', 'cursor_pos_roc_count_zr', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_q3', 'cursor_pos_roc_skew', 'cursor_pos_roc_std', 'down_event_1', 'down_event_11', 'down_event_13', 'down_event_15', 'down_event_17', 'down_event_2', 'down_event_3', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'down_event_nunique', 'evid_acc_kurt', 'evid_acc_skew', 'evid_acc_std', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'neg_change_count', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_10', 'one_gram_tok_11', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_count', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'p_burst_min', 'p_burst_std', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_3_sec', 'pauses_half_sec', 'pos_change_count', 'r_burst_count', 'r_burst_max', 'r_burst_mean', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_skew', 'roc_std', 'roc_zro_count', 'sent_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_mean', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_word_count_first', 'sent_word_count_last', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_median', 'sent_word_count_q3', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_neg', 'word_count_acc_pst', 'word_count_acc_skew', 'word_count_acc_std', 'word_count_acc_zero']",113,0.608029643051193
gain,0.75,"['activity_2_cnt', 'bigram_tok_0', 'bigram_tok_1', 'bigram_tok_2', 'bigram_tok_3', 'bigram_tok_4', 'bigram_tok_5', 'bigram_tok_7', 'bigram_tok_8', 'bigram_tok_9', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_neg', 'cursor_pos_acc_q1', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_neg_change_count', 'cursor_pos_pst_change_count', 'cursor_pos_roc_count_zr', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_median', 'cursor_pos_roc_q3', 'cursor_pos_roc_skew', 'cursor_pos_roc_std', 'down_event_1', 'down_event_11', 'down_event_12', 'down_event_13', 'down_event_14', 'down_event_15', 'down_event_17', 'down_event_2', 'down_event_3', 'down_event_4', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'down_event_nunique', 'evid_acc_kurt', 'evid_acc_max', 'evid_acc_neg', 'evid_acc_pst', 'evid_acc_skew', 'evid_acc_std', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'neg_change_count', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_10', 'one_gram_tok_11', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_count', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'p_burst_min', 'p_burst_std', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_3_sec', 'pauses_half_sec', 'pos_change_count', 'r_burst_count', 'r_burst_max', 'r_burst_mean', 'r_burst_median', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_skew', 'roc_std', 'roc_zro_count', 'sent_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_mean', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_len_sum', 'sent_word_count_first', 'sent_word_count_last', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_median', 'sent_word_count_q3', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_neg', 'word_count_acc_pst', 'word_count_acc_skew', 'word_count_acc_std', 'word_count_acc_zero']",128,0.606365302412404
gain,0.8,"['activity_0_cnt', 'activity_2_cnt', 'bigram_tok_0', 'bigram_tok_1', 'bigram_tok_2', 'bigram_tok_3', 'bigram_tok_4', 'bigram_tok_5', 'bigram_tok_7', 'bigram_tok_8', 'bigram_tok_9', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_neg', 'cursor_pos_acc_pst', 'cursor_pos_acc_q1', 'cursor_pos_acc_q3', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_neg_change_count', 'cursor_pos_pst_change_count', 'cursor_pos_roc_count_zr', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_median', 'cursor_pos_roc_q3', 'cursor_pos_roc_skew', 'cursor_pos_roc_std', 'down_event_1', 'down_event_11', 'down_event_12', 'down_event_13', 'down_event_14', 'down_event_15', 'down_event_17', 'down_event_2', 'down_event_3', 'down_event_4', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'down_event_nunique', 'evid_acc_kurt', 'evid_acc_max', 'evid_acc_neg', 'evid_acc_pst', 'evid_acc_skew', 'evid_acc_std', 'evid_acc_zero', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'neg_change_count', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_10', 'one_gram_tok_11', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_count', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'p_burst_min', 'p_burst_std', 'p_burst_sum', 'paragraph_count', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_mean', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_2_sec', 'pauses_3_sec', 'pauses_half_sec', 'pos_change_count', 'r_burst_count', 'r_burst_max', 'r_burst_mean', 'r_burst_median', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_skew', 'roc_std', 'roc_sum', 'roc_zro_count', 'sent_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_mean', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_len_sum', 'sent_word_count_first', 'sent_word_count_last', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_median', 'sent_word_count_q1', 'sent_word_count_q3', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_max', 'word_count_acc_neg', 'word_count_acc_pst', 'word_count_acc_skew', 'word_count_acc_std', 'word_count_acc_zero']",139,0.6037907556441916
gain,0.85,"['activity_0_cnt', 'activity_2_cnt', 'bigram_tok_0', 'bigram_tok_1', 'bigram_tok_2', 'bigram_tok_3', 'bigram_tok_4', 'bigram_tok_5', 'bigram_tok_6', 'bigram_tok_7', 'bigram_tok_8', 'bigram_tok_9', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_neg', 'cursor_pos_acc_pst', 'cursor_pos_acc_q1', 'cursor_pos_acc_q3', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_acc_zero', 'cursor_pos_neg_change_count', 'cursor_pos_pst_change_count', 'cursor_pos_roc_count_zr', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_median', 'cursor_pos_roc_q3', 'cursor_pos_roc_skew', 'cursor_pos_roc_std', 'down_event_1', 'down_event_10', 'down_event_11', 'down_event_12', 'down_event_13', 'down_event_14', 'down_event_15', 'down_event_17', 'down_event_18', 'down_event_19', 'down_event_2', 'down_event_3', 'down_event_4', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_9', 'down_event_nunique', 'evid_acc_kurt', 'evid_acc_max', 'evid_acc_neg', 'evid_acc_pst', 'evid_acc_skew', 'evid_acc_std', 'evid_acc_zero', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'neg_change_count', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_10', 'one_gram_tok_11', 'one_gram_tok_13', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_count', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'p_burst_min', 'p_burst_std', 'p_burst_sum', 'paragraph_count', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_mean', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_2_sec', 'pauses_3_sec', 'pauses_half_sec', 'pos_change_count', 'r_burst_count', 'r_burst_max', 'r_burst_mean', 'r_burst_median', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_max', 'roc_mean', 'roc_q3', 'roc_skew', 'roc_std', 'roc_sum', 'roc_zro_count', 'sent_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_mean', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_len_sum', 'sent_word_count_first', 'sent_word_count_last', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_median', 'sent_word_count_min', 'sent_word_count_q1', 'sent_word_count_q3', 'sent_word_count_sum', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_max', 'word_count_acc_neg', 'word_count_acc_pst', 'word_count_acc_skew', 'word_count_acc_std', 'word_count_acc_zero']",150,0.6021346834060236
gain,0.9,"['activity_0_cnt', 'activity_2_cnt', 'activity_3_cnt', 'activity_4_cnt', 'activity_nunique', 'bigram_tok_0', 'bigram_tok_1', 'bigram_tok_10', 'bigram_tok_11', 'bigram_tok_2', 'bigram_tok_3', 'bigram_tok_4', 'bigram_tok_5', 'bigram_tok_6', 'bigram_tok_7', 'bigram_tok_8', 'bigram_tok_9', 'cursor_pos_acc_kurt', 'cursor_pos_acc_max', 'cursor_pos_acc_mean', 'cursor_pos_acc_neg', 'cursor_pos_acc_pst', 'cursor_pos_acc_q1', 'cursor_pos_acc_q3', 'cursor_pos_acc_skew', 'cursor_pos_acc_std', 'cursor_pos_acc_sum', 'cursor_pos_acc_zero', 'cursor_pos_neg_change_count', 'cursor_pos_pst_change_count', 'cursor_pos_roc_count_zr', 'cursor_pos_roc_kurt', 'cursor_pos_roc_max', 'cursor_pos_roc_mean', 'cursor_pos_roc_median', 'cursor_pos_roc_q1', 'cursor_pos_roc_q3', 'cursor_pos_roc_skew', 'cursor_pos_roc_std', 'down_event_1', 'down_event_10', 'down_event_11', 'down_event_12', 'down_event_13', 'down_event_14', 'down_event_15', 'down_event_16', 'down_event_17', 'down_event_18', 'down_event_19', 'down_event_2', 'down_event_3', 'down_event_4', 'down_event_5', 'down_event_6', 'down_event_7', 'down_event_8', 'down_event_9', 'down_event_nunique', 'evid_acc_kurt', 'evid_acc_max', 'evid_acc_neg', 'evid_acc_pst', 'evid_acc_q3', 'evid_acc_skew', 'evid_acc_std', 'evid_acc_zero', 'inter_key_largest_lantency', 'inter_key_median_lantency', 'mean_pause_time', 'neg_change_count', 'one_gram_tok_0', 'one_gram_tok_1', 'one_gram_tok_10', 'one_gram_tok_11', 'one_gram_tok_12', 'one_gram_tok_13', 'one_gram_tok_2', 'one_gram_tok_3', 'one_gram_tok_4', 'one_gram_tok_5', 'one_gram_tok_6', 'one_gram_tok_7', 'one_gram_tok_8', 'one_gram_tok_9', 'p_burst_count', 'p_burst_max', 'p_burst_mean', 'p_burst_median', 'p_burst_min', 'p_burst_std', 'p_burst_sum', 'paragraph_count', 'paragraph_len_first', 'paragraph_len_last', 'paragraph_len_max', 'paragraph_len_mean', 'paragraph_len_median', 'paragraph_len_min', 'paragraph_len_q1', 'paragraph_len_q3', 'paragraph_len_sum', 'paragraph_word_count_first', 'paragraph_word_count_last', 'paragraph_word_count_max', 'paragraph_word_count_mean', 'paragraph_word_count_median', 'paragraph_word_count_min', 'paragraph_word_count_q1', 'paragraph_word_count_q3', 'paragraph_word_count_sum', 'pauses_1_half_sec', 'pauses_1_sec', 'pauses_2_sec', 'pauses_3_sec', 'pauses_half_sec', 'pos_change_count', 'r_burst_count', 'r_burst_max', 'r_burst_mean', 'r_burst_median', 'r_burst_std', 'r_burst_sum', 'roc_count', 'roc_kurt', 'roc_max', 'roc_mean', 'roc_q3', 'roc_skew', 'roc_std', 'roc_sum', 'roc_zro_count', 'sent_count', 'sent_len_first', 'sent_len_last', 'sent_len_max', 'sent_len_mean', 'sent_len_median', 'sent_len_min', 'sent_len_q1', 'sent_len_q3', 'sent_len_sum', 'sent_word_count_first', 'sent_word_count_last', 'sent_word_count_max', 'sent_word_count_mean', 'sent_word_count_median', 'sent_word_count_min', 'sent_word_count_q1', 'sent_word_count_q3', 'sent_word_count_sum', 'std_pause_time', 'text_change_nunique', 'total_pause_time', 'word_count_acc_kurt', 'word_count_acc_max', 'word_count_acc_neg', 'word_count_acc_pst', 'word_count_acc_skew', 'word_count_acc_std', 'word_count_acc_zero']",161,0.6032004114260995
